Altium Designer Pick and Place Locations
C:\Users\Alex\My Drive\School\Classes\Capstone 1 & 2\Altium Designer Projects\Arduino_Prototype\Project Outputs for MEGA2560_Rev3e\Pick Place\Pick Place for MEGA2560_Rev3e.csv

========================================================================================================================
File Design Information:

Date:       26/02/24
Time:       10:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"IC3","ATMEGA2560-15AU","TopLayer","TQFP100","50.8257","28.3591","0","8-bit Microcontroller with 256K Bytes In-System Programmable Flash - ATMEGA2560-16AU"
"C16","100nF","TopLayer","C0603-ROUND","43.6608","36.8828","270","100nF 0603 50V"
"L2","10uH","TopLayer","0805","41.7121","37.7424","270","10uH 0805"
"D2","CD1206-S01575","TopLayer","MINIMELF","13.1067","46.2407","90","small-signal high-speed Switching Diodes   CD1206"
"POWER","FH254-108DF08500V","TopLayer","1X08","36.8557","2.5527","0","Female Connector strip for Arduino bases - 8x1 F V h 8,5 p2,54 serigrafato POWER"
"XIO","18x2F-H8.5","TopLayer","2X18","95.2757","29.2227","270","18x2 F V h 8,5 p2,54"
"D3","CD1206-S01575","TopLayer","MINIMELF","35.5857","14.6177","90","small-signal high-speed Switching Diodes   CD1206"
"IC7","LMV358IDGKR","TopLayer","MSOP08","18.4412","21.3477","90","Dual low-voltage (2.7 V to 5.5 V), operational amplifiers with rail-to-rail output swing   LMV358IDGKR"
"JP5","2x2M - NM","TopLayer","2X02","19.5837","41.1607","90","PIN HEADER"
"C15","22p","TopLayer","C0603-ROUND","21.6157","29.3497","0","22pF 0603"
"C14","22p","TopLayer","C0603-ROUND","15.2657","29.3497","180","22pF 0603"
"Y2","16MHz","TopLayer","QS","18.4407","26.0477","180","16MHz THT"
"IC6","LP2985-33DBVR","TopLayer","SOT23-DBV","27.9657","25.1841","180","150-mA LOW-NOISE LOW-DROPOUT REGULATOR WITH SHUTDOWN   LP2985-33DBVR"
"R2","1M","TopLayer","R0603-ROUND","18.4407","29.3497","0","1M 0603"
"RESET","TS42","TopLayer","TS42","6.2487","48.7817","0","Pushbutton 6x6 Smd - White"
"RN2","22R","TopLayer","CAY16","12.0907","37.0967","90","22R 064R"
"FD4","FIDUCIALMOUNT","TopLayer","FIDUCIA-MOUNT","50.8257","28.3591","0",""
"RN3","1K","TopLayer","CAY16","27.9657","39.3827","270","1K 064R"
"RN1","10k","TopLayer","CAY16","80.6707","36.8427","270","10K 064 R"
"RN5","10k","TopLayer","CAY16","18.4407","16.5227","90","10K 064 R"
"RN4","1K","TopLayer","CAY16","27.9657","31.1277","90","1K 064R"
"R1","1M","TopLayer","R0603-ROUND","40.5387","14.6177","90","1M 0603"
"Y1","CSTCE16M0V53-R0","TopLayer","RESONATOR","38.3797","14.6177","270","16Mhz - SMD"
"GROUND","SJ","BottomLayer","SJ","10.8207","33.0327","0","SMD solder JUMPER"
"Z2","BRNCG0603MLC-05E","TopLayer","CT/CN0603","12.0907","39.6875","0","CG0603MLC-05E"
"Z1","BRNCG0603MLC-05E","TopLayer","CT/CN0603","12.0907","34.3027","0","CG0603MLC-05E"
