Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R9,RK73B1JTTD472J,TopLayer,RESC1608X55X30ML20T10,42.6720mm,58.8010mm,0,
X1,LFXTAL036075BULK,TopLayer,XTAL_LFXTAL0360_IQD,53.9750mm,54.7100mm,270,"Parallel - Fundamental Quartz Crystal, 27.12MHz Nom"
U1,"CLRC66302HN,118",TopLayer,HVQFN32_SOT617-1_NXP,38.7350mm,53.3400mm,0,"Telecom Circuit, 1-Func, CMOS, PQCC32"
R18,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,43.8150mm,60.9600mm,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R17,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,41.2750mm,60.9600mm,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R16,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,38.7350mm,60.9600mm,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R15,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,36.1950mm,60.9600mm,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R14,RK73B1JTTD472J,TopLayer,RESC1608X55X30ML20T10,31.1150mm,60.9600mm,90,
R13,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,33.6550mm,60.9600mm,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R12,RC1206FR-071KL,TopLayer,RESC3116X65X40ML10T20,28.5750mm,59.6900mm,90,"Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
R11,RK73B1JTTD472J,TopLayer,RESC1608X55X30ML20T10,43.5610mm,56.3880mm,180,
R10,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,25.4000mm,55.8800mm,0,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R8,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,44.4500mm,53.3400mm,0,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R7,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,48.8950mm,61.5950mm,90,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
R6,RC0805FR-071KL,TopLayer,RESC2013X60X35ML10T20,29.8450mm,43.1800mm,90,"Chip Resistor, 1 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
R5,RT1206BRD0712KL,TopLayer,FP-RT1206-MFG,23.4950mm,39.3700mm,180,RES SMD 12K OHM 0.1% 1/4W 1206
R4,CRCW060315R0FKEA,TopLayer,FP-CRCW0603-e3-MFG,15.8750mm,31.7500mm,270,"RES Thick Film, 15O, 1%, 0.1W, 100ppm/°C, 0603"
R3,CRCW060315R0FKEA,TopLayer,FP-CRCW0603-e3-MFG,40.0050mm,30.4800mm,270,"RES Thick Film, 15O, 1%, 0.1W, 100ppm/°C, 0603"
R2,RT1206BRD0712KL,TopLayer,FP-RT1206-MFG,46.9900mm,35.5600mm,180,RES SMD 12K OHM 0.1% 1/4W 1206
R1,RC0805FR-071KL,TopLayer,RESC2013X60X35ML10T20,46.3550mm,46.9900mm,90,"Chip Resistor, 1 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
P1,61301011021,TopLayer,61301011021,30.4800mm,71.5250mm,180,
L3,LQW18AN22NG00D,TopLayer,FP-LQW18AN_00-MFG,9.5250mm,65.4050mm,90,Wire Wound RF Inductor 22nH ±2% 500mA 0.17O 0603 (1608)
L2,IHLP2020CZERR47M01,TopLayer,FP-IHLP-2020CZ-FP_1_905x2-MFG,23.4950mm,45.7200mm,270,Fixed Inductors Commercial High Saturation Series 0.47uH 12.2A 7.04mO 20%
L1,IHLP2020CZERR47M01,TopLayer,FP-IHLP-2020CZ-FP_1_905x2-MFG,41.2750mm,40.6400mm,270,Fixed Inductors Commercial High Saturation Series 0.47uH 12.2A 7.04mO 20%
